predictor_order,predictor,family,source,source_column,model_role,missingness_semantics,issue_time_semantics
1,era5__ivt_e_mean_kg_m1_s1,DYNAMIC,era5,ivt_e_mean_kg_m1_s1,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
2,era5__ivt_n_mean_kg_m1_s1,DYNAMIC,era5,ivt_n_mean_kg_m1_s1,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
3,era5__ivt_mag_mean_kg_m1_s1,DYNAMIC,era5,ivt_mag_mean_kg_m1_s1,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
4,era5__ivt_mag_max_kg_m1_s1,DYNAMIC,era5,ivt_mag_max_kg_m1_s1,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
5,era5__tcwv_mean_kg_m2,DYNAMIC,era5,tcwv_mean_kg_m2,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
6,era5__tcwv_max_kg_m2,DYNAMIC,era5,tcwv_max_kg_m2,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
7,era5__cape_mean_j_kg,DYNAMIC,era5,cape_mean_j_kg,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
8,era5__cape_max_j_kg,DYNAMIC,era5,cape_max_j_kg,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
9,era5__mslp_mean_pa,DYNAMIC,era5,mslp_mean_pa,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
10,era5__mslp_min_pa,DYNAMIC,era5,mslp_min_pa,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
11,era5__u925_mean_m_s,DYNAMIC,era5,u925_mean_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
12,era5__v925_mean_m_s,DYNAMIC,era5,v925_mean_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
13,era5__wind925_mean_m_s,DYNAMIC,era5,wind925_mean_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
14,era5__wind925_max_m_s,DYNAMIC,era5,wind925_max_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
15,era5__q925_mean_kg_kg,DYNAMIC,era5,q925_mean_kg_kg,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
16,era5__t925_mean_k,DYNAMIC,era5,t925_mean_k,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
17,era5__u850_mean_m_s,DYNAMIC,era5,u850_mean_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
18,era5__v850_mean_m_s,DYNAMIC,era5,v850_mean_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
19,era5__wind850_mean_m_s,DYNAMIC,era5,wind850_mean_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
20,era5__wind850_max_m_s,DYNAMIC,era5,wind850_max_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
21,era5__q850_mean_kg_kg,DYNAMIC,era5,q850_mean_kg_kg,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
22,era5__t850_mean_k,DYNAMIC,era5,t850_mean_k,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
23,era5__u700_mean_m_s,DYNAMIC,era5,u700_mean_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
24,era5__v700_mean_m_s,DYNAMIC,era5,v700_mean_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
25,era5__wind700_mean_m_s,DYNAMIC,era5,wind700_mean_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
26,era5__wind700_max_m_s,DYNAMIC,era5,wind700_max_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
27,era5__q700_mean_kg_kg,DYNAMIC,era5,q700_mean_kg_kg,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
28,era5__t700_mean_k,DYNAMIC,era5,t700_mean_k,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
29,era5__precip_sum_mm,DYNAMIC,era5,precip_sum_mm,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
30,era5__precip_max_1h_mm,DYNAMIC,era5,precip_max_1h_mm,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
31,era5__soil_water_l1_m3_m3,DYNAMIC,era5,soil_water_l1_m3_m3,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
32,era5__soil_water_l2_m3_m3,DYNAMIC,era5,soil_water_l2_m3_m3,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
33,era5__soil_water_l3_m3_m3,DYNAMIC,era5,soil_water_l3_m3_m3,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
34,era5__snow_depth_mwe,DYNAMIC,era5,snow_depth_mwe,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
35,era5__season_day,DYNAMIC,era5,season_day,PRIMARY_CALENDAR_KNOWN,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
36,era5__ivt_dir_sin,DYNAMIC,era5,ivt_dir_sin,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
37,era5__ivt_dir_cos,DYNAMIC,era5,ivt_dir_cos,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
38,era5__ivt_mag_change_24h,DYNAMIC,era5,ivt_mag_change_24h,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
39,era5__tcwv_change_24h,DYNAMIC,era5,tcwv_change_24h,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
40,era5__cape_change_24h,DYNAMIC,era5,cape_change_24h,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
41,era5__mslp_change_24h_pa,DYNAMIC,era5,mslp_change_24h_pa,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
42,era5__ivt_mag_prev1d,DYNAMIC,era5,ivt_mag_prev1d,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
43,era5__ivt_mag_prev3d_mean,DYNAMIC,era5,ivt_mag_prev3d_mean,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
44,era5__ivt_mag_prev7d_mean,DYNAMIC,era5,ivt_mag_prev7d_mean,PRIMARY_DYNAMIC_CORE,STRUCTURAL_SEASON_EDGE_NAN,END_OF_DAY_REANALYSIS_ANALYSIS
45,era5__ivt_mag_prev3d_max,DYNAMIC,era5,ivt_mag_prev3d_max,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
46,era5__precip_prev1d_mm,DYNAMIC,era5,precip_prev1d_mm,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
47,era5__precip_prev3d_mm,DYNAMIC,era5,precip_prev3d_mm,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
48,era5__precip_prev7d_mm,DYNAMIC,era5,precip_prev7d_mm,PRIMARY_DYNAMIC_CORE,STRUCTURAL_SEASON_EDGE_NAN,END_OF_DAY_REANALYSIS_ANALYSIS
49,era5__precip_prev14d_mm,DYNAMIC,era5,precip_prev14d_mm,PRIMARY_DYNAMIC_CORE,STRUCTURAL_SEASON_EDGE_NAN,END_OF_DAY_REANALYSIS_ANALYSIS
50,era5__precip_3d_incl_today_mm,DYNAMIC,era5,precip_3d_incl_today_mm,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
